sectionList,sectionLength
0,21.2784
1,10.7536
2,0.2288
3,0.2288
4,11.7263
5,1.9163999999999999
6,1.4471
7,11.2055
8,11.154
9,12.127
10,0.2288
11,0.2288
12,0.2288
13,0.2288
14,0.2288
15,0.2288
16,0.2288
17,0.2288
18,0.2288
19,0.2288
20,0.2288
21,0.2288
22,0.2288
23,0.2288
24,0.2288
25,0.2288
26,0.2288
27,0.2288
28,0.2288
29,0.2288
30,0.2288
31,0.2288
32,0.2288
33,0.2288
34,1.1841
35,1.0811
36,1.121
37,1.0954
38,1.0692
39,1.0449
40,1.0207
41,0.9964
42,0.9702999999999999
43,0.9443
44,0.92
45,0.8958
46,0.8717
47,0.8455
48,0.8194
49,0.7953
50,0.7711
51,0.7449
52,0.7187
53,0.6944
54,0.67
55,0.6436
56,0.6173
57,0.5932
58,0.5692
59,0.5431
60,0.5169
61,0.49260000000000004
62,0.4684
63,0.4444
64,1.0811000000000002
65,0.4324
66,0.4324
67,0.4324
68,0.4324
69,0.4324
70,0.4324
71,0.4324
72,0.906
73,1.0104
74,0.968
75,0.9251
76,0.8823
77,0.8393999999999999
78,0.7964
79,0.7534000000000001
80,0.7132000000000001
81,0.6694
82,0.623
83,0.5802
84,0.5407
85,0.4971
86,0.4528
87,0.7661
88,0.7347
89,0.7047
90,0.6727
91,0.6402
92,0.6073
93,0.5751999999999999
94,0.5430999999999999
95,0.5107999999999999
96,0.4787
97,0.44689999999999996
98,0.7824
99,0.7824
100,0.7824
101,0.7824
102,0.7824
103,0.7824
104,0.7824
105,0.7824
106,0.7824
107,0.7824
108,0.7824
109,0.7824
110,0.7824
111,0.7824
112,0.7824
113,0.7824
114,0.7824
115,0.7782
116,0.7684
117,0.7572000000000001
118,0.746
119,0.7345999999999999
120,0.7232000000000001
121,0.7112
122,0.6989
123,0.6873
124,0.6760999999999999
125,0.6651
126,0.6539999999999999
127,0.6428
128,0.6317999999999999
129,0.6208
130,0.6093999999999999
131,0.5971
132,0.585
133,0.5739000000000001
134,0.5628
135,0.5517000000000001
136,0.5406
137,0.5295000000000001
138,0.5185
139,0.5065999999999999
140,0.49470000000000003
141,0.4837
142,0.4726
143,0.4607
144,0.4489
145,0.4379
146,0.7774
147,0.7674
148,0.7575000000000001
149,0.7475
150,0.7375
151,0.7268
152,0.7161
153,0.7062
154,0.6962
155,0.6863
156,0.6754
157,0.6644
158,0.6545
159,0.6447
160,0.6347
161,0.6247
162,0.6139
163,0.6028
164,0.5926
165,0.5825
166,0.5717
167,0.5610999999999999
168,0.5512
169,0.5413
170,0.5312
171,0.5211
172,0.5104
173,0.49960000000000004
174,0.4896
175,0.4796
