sectionList,sectionType
0,soma
1,hillock
2,hillock
3,hillock
4,apical
5,apical
6,apical
7,basal
8,basal
9,apical
10,hillock
11,hillock
12,hillock
13,hillock
14,hillock
15,hillock
16,hillock
17,hillock
18,hillock
19,hillock
20,hillock
21,hillock
22,hillock
23,hillock
24,hillock
25,hillock
26,hillock
27,hillock
28,hillock
29,hillock
30,hillock
31,hillock
32,hillock
33,hillock
34,apical
35,apical
36,apical
37,apical
38,apical
39,apical
40,apical
41,apical
42,apical
43,apical
44,apical
45,apical
46,apical
47,apical
48,apical
49,apical
50,apical
51,apical
52,apical
53,apical
54,apical
55,apical
56,apical
57,apical
58,apical
59,apical
60,apical
61,apical
62,apical
63,apical
64,apical
65,apical
66,apical
67,apical
68,apical
69,apical
70,apical
71,apical
72,apical
73,apical
74,apical
75,apical
76,apical
77,apical
78,apical
79,apical
80,apical
81,apical
82,apical
83,apical
84,apical
85,apical
86,apical
87,apical
88,apical
89,apical
90,apical
91,apical
92,apical
93,apical
94,apical
95,apical
96,apical
97,apical
98,apical
99,apical
100,apical
101,apical
102,apical
103,apical
104,apical
105,apical
106,apical
107,apical
108,apical
109,apical
110,apical
111,apical
112,apical
113,apical
114,apical
115,apical
116,apical
117,apical
118,apical
119,apical
120,apical
121,apical
122,apical
123,apical
124,apical
125,apical
126,apical
127,apical
128,apical
129,apical
130,apical
131,apical
132,apical
133,apical
134,apical
135,apical
136,apical
137,apical
138,apical
139,apical
140,apical
141,apical
142,apical
143,apical
144,apical
145,apical
146,apical
147,apical
148,apical
149,apical
150,apical
151,apical
152,apical
153,apical
154,apical
155,apical
156,apical
157,apical
158,apical
159,apical
160,apical
161,apical
162,apical
163,apical
164,apical
165,apical
166,apical
167,apical
168,apical
169,apical
170,apical
171,apical
172,apical
173,apical
174,apical
175,apical
176,apical
177,apical
178,apical
179,apical
180,apical
181,apical
182,apical
183,apical
184,apical
185,apical
186,apical
187,apical
188,apical
189,apical
190,apical
191,apical
192,apical
193,apical
194,apical
195,apical
196,apical
197,apical
198,apical
199,apical
200,apical
201,apical
202,apical
203,apical
204,apical
205,apical
206,apical
207,apical
208,apical
209,apical
210,apical
211,apical
212,apical
213,apical
214,apical
215,apical
216,apical
217,apical
218,apical
219,apical
220,apical
221,apical
222,apical
223,apical
224,apical
225,apical
226,apical
227,apical
228,apical
229,apical
230,apical
231,apical
232,apical
233,apical
234,apical
235,apical
236,apical
237,apical
238,apical
239,apical
240,apical
241,apical
242,apical
243,apical
244,apical
245,apical
246,apical
247,apical
248,apical
249,apical
250,apical
251,apical
252,apical
253,apical
254,apical
255,apical
256,apical
257,apical
258,apical
259,apical
260,apical
261,apical
262,apical
263,apical
264,apical
265,apical
266,apical
267,apical
268,apical
269,apical
270,apical
271,apical
272,apical
273,apical
274,apical
275,apical
276,apical
277,apical
278,apical
279,apical
280,apical
281,apical
282,apical
283,apical
284,apical
285,apical
286,apical
287,apical
288,apical
289,apical
290,apical
291,apical
292,apical
293,apical
294,apical
295,apical
296,apical
297,apical
298,apical
299,apical
300,apical
301,apical
302,apical
303,apical
304,apical
305,apical
306,apical
307,apical
308,apical
309,apical
310,apical
311,apical
312,apical
313,apical
314,apical
315,apical
316,apical
317,apical
318,apical
319,apical
320,apical
321,apical
322,apical
323,apical
324,apical
325,apical
326,apical
327,apical
328,apical
329,apical
330,apical
331,apical
332,apical
333,apical
334,apical
335,apical
336,apical
337,apical
338,apical
339,apical
340,apical
341,apical
342,apical
343,apical
344,apical
345,apical
346,apical
347,apical
348,apical
349,apical
350,apical
351,apical
352,apical
353,apical
354,apical
355,apical
356,apical
357,apical
358,apical
359,apical
360,apical
361,apical
362,apical
363,apical
364,apical
365,apical
366,apical
367,basal
368,basal
369,basal
370,basal
371,basal
372,basal
373,basal
374,basal
375,basal
376,basal
377,basal
378,basal
379,basal
380,basal
381,basal
382,basal
383,basal
384,basal
385,basal
386,basal
387,basal
388,basal
389,basal
390,basal
391,basal
392,basal
393,basal
394,basal
395,basal
396,basal
397,basal
398,basal
399,basal
400,basal
401,basal
402,basal
403,basal
404,basal
405,basal
406,basal
407,basal
408,basal
409,basal
410,basal
411,basal
412,basal
413,basal
414,basal
415,basal
416,basal
417,basal
418,basal
419,basal
420,basal
421,basal
422,basal
423,basal
424,basal
425,basal
426,basal
427,basal
428,basal
429,basal
430,basal
431,basal
432,basal
433,basal
434,basal
435,basal
436,basal
437,basal
438,basal
439,basal
440,basal
441,basal
442,basal
443,basal
444,basal
445,basal
446,basal
447,basal
448,basal
449,basal
450,basal
451,basal
452,basal
453,basal
454,basal
455,basal
456,basal
457,basal
458,basal
459,basal
460,basal
461,basal
462,basal
463,basal
464,basal
465,basal
466,basal
467,basal
468,basal
469,basal
470,basal
471,basal
472,basal
473,basal
474,basal
475,basal
476,basal
477,basal
478,basal
479,basal
480,basal
481,basal
482,basal
483,basal
484,apical
485,apical
486,apical
487,apical
488,apical
489,apical
490,apical
491,apical
492,apical
493,apical
494,apical
495,apical
496,apical
497,apical
498,apical
499,apical
500,apical
501,apical
502,apical
503,apical
504,apical
505,apical
506,apical
507,apical
508,apical
509,apical
510,apical
511,apical
512,apical
513,apical
514,apical
515,apical
516,apical
517,apical
518,apical
519,apical
520,apical
521,apical
522,apical
523,apical
524,apical
525,apical
526,apical
527,apical
528,apical
529,apical
530,apical
531,apical
532,apical
533,apical
534,apical
535,apical
536,apical
537,apical
538,apical
539,apical
540,apical
541,apical
542,apical
543,apical
544,apical
545,apical
546,apical
547,apical
548,apical
549,apical
550,apical
551,apical
552,apical
553,apical
554,apical
555,apical
556,apical
557,apical
558,apical
559,apical
560,apical
561,apical
562,apical
563,apical
564,apical
565,apical
566,apical
567,apical
568,apical
569,apical
570,apical
571,apical
572,apical
573,apical
574,apical
575,apical
576,apical
577,apical
578,apical
579,apical
580,apical
581,apical
582,apical
583,apical
584,apical
585,apical
586,apical
587,apical
588,apical
589,apical
590,apical
591,apical
592,apical
593,apical
594,apical
595,apical
596,apical
597,apical
598,apical
599,apical
600,apical
601,apical
602,apical
603,apical
604,apical
605,apical
606,apical
607,apical
608,apical
609,apical
610,apical
611,apical
612,apical
613,apical
614,apical
615,apical
616,apical
617,apical
618,apical
619,apical
620,apical
621,apical
622,apical
623,apical
624,apical
625,apical
626,apical
627,apical
628,apical
629,apical
630,apical
631,apical
632,apical
633,apical
634,apical
635,apical
636,apical
637,apical
638,apical
639,apical
640,apical
641,apical
642,apical
643,apical
644,apical
645,apical
646,apical
647,apical
648,apical
649,apical
650,apical
651,apical
652,apical
653,apical
654,apical
655,apical
656,apical
657,apical
658,apical
659,apical
660,apical
661,apical
662,apical
663,apical
664,apical
665,apical
666,apical
667,apical
668,apical
669,apical
670,apical
671,apical
672,apical
673,apical
674,apical
675,apical
676,apical
677,apical
678,apical
679,apical
680,apical
681,apical
682,apical
683,apical
684,apical
685,apical
686,apical
687,apical
688,apical
689,apical
690,apical
691,apical
692,apical
693,apical
694,apical
695,apical
696,apical
697,apical
698,apical
699,apical
700,apical
701,apical
702,apical
703,apical
704,apical
705,apical
706,apical
707,apical
708,apical
709,apical
710,apical
711,apical
712,apical
713,apical
714,apical
715,apical
716,apical
717,apical
718,apical
719,apical
720,apical
721,apical
722,apical
723,apical
724,apical
725,apical
726,apical
727,apical
728,apical
729,apical
730,apical
731,apical
732,apical
733,apical
734,apical
735,apical
736,apical
737,apical
738,apical
